"X" "Y"
"1" 695934.87 5078340.92
"2" 695934.68 5078341.61
"3" 695934.85 5078342.98
"4" 695934.28 5078343.02
"5" 695933.74 5078344.88
"6" 695933.64 5078347.27
"7" 695933.81 5078346.67
"8" 695934.82 5078345.42
"9" 695934.95 5078344.92
"10" 695935.83 5078342.99
"11" 695935.82 5078341.92
"12" 695935.44 5078340.96
"13" 695935.91 5078339.35
"14" 695936.06 5078338.82
"15" 695937.41 5078337.48
"16" 695936.98 5078337.82
"17" 695936.7 5078339.98
"18" 695936.09 5078340.94
"19" 695936.94 5078341.88
"20" 695935.61 5078343.74
"21" 695935.03 5078344.67
"22" 695934.95 5078346.08
"23" 695934.66 5078347.09
"24" 695933.85 5078348.95
"25" 695933.94 5078349.75
"26" 695934.69 5078349.91
"27" 695934.21 5078348.77
"28" 695935.77 5078345.94
"29" 695936.67 5078342.75
"30" 695937.97 5078338.21
"31" 695937.64 5078336.67
"32" 695938.7 5078335.63
"33" 695939 5078336.21
"34" 695938.06 5078337.94
"35" 695937.98 5078339.81
"36" 695937.34 5078340.49
"37" 695937.36 5078341.94
"38" 695936.33 5078343.95
"39" 695936.07 5078344.9
"40" 695935.69 5078346.24
"41" 695935.85 5078347.17
"42" 695935.97 5078348.81
"43" 695934.61 5078350.17
"44" 695934.58 5078351.75
"45" 695935.49 5078350.58
"46" 695935.9 5078349.08
"47" 695936.1 5078346.3
"48" 695936.27 5078345.73
"49" 695937.04 5078343.05
"50" 695937.1 5078342.8
"51" 695938.49 5078339.95
"52" 695938.99 5078338.16
"53" 695939.84 5078335.08
"54" 695939.93 5078334.79
"55" 695939.91 5078336.82
"56" 695939.83 5078337.09
"57" 695938.32 5078340.54
"58" 695938.03 5078341.62
"59" 695937.06 5078344.92
"60" 695936.29 5078347.67
"61" 695936.19 5078348
"62" 695935.78 5078351.37
"63" 695934.96 5078352.46
"64" 695935.9 5078353.5
"65" 695935.47 5078352.42
"66" 695936.94 5078350.92
"67" 695936.24 5078349.74
"68" 695937.21 5078346.2
"69" 695937.28 5078345.98
"70" 695938.89 5078343.99
"71" 695938.18 5078342.92
"72" 695939.68 5078340.1
"73" 695939.23 5078339.2
"74" 695939.56 5078338.08
"75" 695940.8 5078336
"76" 695940.87 5078335.73
"77" 695940.58 5078334.38
"78" 695941.4 5078333.86
"79" 695941.57 5078334.49
"80" 695941.26 5078335.62
"81" 695940.52 5078337.07
"82" 695940.1 5078338.5
"83" 695939.31 5078341.4
"84" 695939.24 5078342.75
"85" 695938.59 5078345
"86" 695938.02 5078345.85
"87" 695937.57 5078347.46
"88" 695937.21 5078348.84
"89" 695937.31 5078349.65
"90" 695936.85 5078351.2
"91" 695936.61 5078352.09
"92" 695935.72 5078354.06
"93" 695936.03 5078354.15
"94" 695936.83 5078353.62
"95" 695937.01 5078350.67
"96" 695938.72 5078346.86
"97" 695939.17 5078343.03
"98" 695940.05 5078340
"99" 695940.94 5078339.09
"100" 695941.08 5078336.24
"101" 695942.47 5078333.56
"102" 695942.09 5078334.91
"103" 695942.03 5078335.16
"104" 695941.27 5078337.88
"105" 695941.1 5078338.53
"106" 695940.39 5078341.1
"107" 695940.33 5078342.88
"108" 695939.83 5078344.59
"109" 695939.48 5078345.81
"110" 695938.48 5078347.66
"111" 695938.23 5078348.6
"112" 695937.48 5078351.3
"113" 695937.61 5078352.5
"114" 695936.38 5078355.21
"115" 695937.86 5078355
"116" 695937.71 5078353.71
"117" 695938.52 5078350.88
"118" 695938.36 5078349.85
"119" 695939.1 5078347.12
"120" 695939.19 5078346.85
"121" 695940.05 5078343.88
"122" 695941.99 5078340.69
"123" 695941.44 5078339.09
"124" 695942.69 5078336.17
"125" 695943.37 5078333.79
"126" 695943.65 5078332.92
"127" 695943.04 5078334.96
"128" 695942.32 5078337.5
"129" 695942.15 5078338.13
"130" 695941.69 5078341.73
"131" 695941.61 5078342
"132" 695940.27 5078344.69
"133" 695940.48 5078345.77
"134" 695939.3 5078348.06
"135" 695939.56 5078349.03
"136" 695938.29 5078351.71
"137" 695938.2 5078352.06
"138" 695937.32 5078355.11
"139" 695937.04 5078356.13
"140" 695938.7 5078354.09
"141" 695938.22 5078353.78
"142" 695939.06 5078350.92
"143" 695940.05 5078347.31
"144" 695940.2 5078346.77
"145" 695941.03 5078343.92
"146" 695942.68 5078340.16
"147" 695942.74 5078339.88
"148" 695943.24 5078336.24
"149" 695943.32 5078335.96
"150" 695944.95 5078333.83
"151" 695944.85 5078332.56
"152" 695944.4 5078334.11
"153" 695944.92 5078335.77
"154" 695943.48 5078337.27
"155" 695943.16 5078338.44
"156" 695942.9 5078341.02
"157" 695942.56 5078342.23
"158" 695941.46 5078344.32
"159" 695941.1 5078345.55
"160" 695940.39 5078348.05
"161" 695940.56 5078349.06
"162" 695939.54 5078351.15
"163" 695939.55 5078352.69
"164" 695938.86 5078355.05
"165" 695938.04 5078356.46
"166" 695938.33 5078357.08
"167" 695939.15 5078354.07
"168" 695939.95 5078353.09
"169" 695940.05 5078350.92
"170" 695941.12 5078347.05
"171" 695941.71 5078346.85
"172" 695942.31 5078344.82
"173" 695942.11 5078343.82
"174" 695943.66 5078340.13
"175" 695943.73 5078339.86
"176" 695944.84 5078336.05
"177" 695945.47 5078333.8
"178" 695945.93 5078332.27
"179" 695945.8 5078334.61
"180" 695945.07 5078335.17
"181" 695944.98 5078337.46
"182" 695944.67 5078338.58
"183" 695943.8 5078341.55
"184" 695943.98 5078342.5
"185" 695942.15 5078345.32
"186" 695941.31 5078348.29
"187" 695941.55 5078349.31
"188" 695940.8 5078351.92
"189" 695940.71 5078352.2
"190" 695939.89 5078355.19
"191" 695939.13 5078356.17
"192" 695939.06 5078358.2
"193" 695939.39 5078357.02
"194" 695940.83 5078354.86
"195" 695940.45 5078353.09
"196" 695941.69 5078351.91
"197" 695941.21 5078350.46
"198" 695942.97 5078347.42
